Refusal,Topic,Keyword,System,User,Assistant,回答依據,
FALSE,票據,票價,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,從A1 臺北車站到A16 橫山的價錢是多少？,桃園捷運的單程票價範圍是新台幣30元到160元，具體取決於旅程距離​​。最便宜的票價是30元，這是在同一站進出時的費用。最昂貴的票價是160元，這是從臺北車站到桃園國際機場的費用。,"畫面顯示：桃捷官網 - 票價表
 https://www.tymetro.com.tw/tymetro-new/tw/_images/document/travel-guide/price.pdf",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,身高幾公分以下的兒童免費坐？,未滿6歲之兒童且身高未滿115公分的兒童可以免費乘坐，但必須由已購票的旅客陪同。若無已購票旅客陪同者，不得單獨乘車,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,幾歲以下的兒童免費坐？,未滿6歲之兒童且身高未滿115公分的兒童可以免費乘坐，但必須由已購票的旅客陪同。若無已購票旅客陪同者，不得單獨乘車,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,單程票不見了怎麼辦？,若旅客遺失或毀損單程票，需在補票時加收單程票工本費​,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,單程票的停留時限有多久？,不同車站進出的最大停留時限為2小時,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,車票種類有哪些？,"根據桃園捷運的官方網站，桃園捷運提供以下幾種車票類型：

1.單程票：適用於搭乘一次之旅客，包含兒童單程優待票及敬老愛心優待票。
2.一日票：啟用後於當日營運結束前可不限區間、不限次數、不限車種搭乘。
3.電子票證：包含悠遊卡、一卡通、icash2.0 等3種電子票證，票卡可重複加值使用。
4.基北北桃都會通：由基北北桃四市政府發行。
5.桃竹竹苗通勤定期票：由桃竹竹苗地方政府發行。
6.桃捷自有定期票/團體票：包括通勤定期票優惠專案以及團體票優惠。
7.其他票種：包括桃園機場捷運與臺北捷運聯合套票及回數票。
8.行動支付信用卡：包含VISA、Mastercard、銀聯、JCB等。
9.乘車碼：包含LINE Pay、一卡通MONEY、支付寶等。","畫面顯示：桃捷官網 - 票價與票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php",
FALSE,票據,退票 - 行動支付/信用卡,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,信用卡怎麼退票？,"建議您直接聯繫桃園捷運客服中心，以獲得關於信用卡和行動支付退票的具體指引。您可以撥打他們的客服專線或訪問桃園捷運的官方網站以獲取更詳細的信息。

桃園捷運客服專線: 03-286-8789","畫面顯示：桃捷官網 - 行動支付/信用卡退費服務
 https://www.mdstymetrotickets.com.tw/TYMC_CRM/CRM_Code/ServiceAdd.aspx",
FALSE,票據,退票 - 行動支付/信用卡,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,行動支付怎麼退票？,"建議您直接聯繫桃園捷運客服中心，以獲得關於信用卡和行動支付退票的具體指引。您可以撥打他們的客服專線或訪問桃園捷運的官方網站以獲取更詳細的信息。

桃園捷運客服專線: 03-286-8789","畫面顯示：桃捷官網 - 行動支付/信用卡退費服務
 https://www.mdstymetrotickets.com.tw/TYMC_CRM/CRM_Code/ServiceAdd.aspx",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,可以退票嗎？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,要怎麼退票？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼退票？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
